alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.8123376623376624,0.8123376623376624,0.037082117376800394,0.03708211737680038,0.7564329004329002,0.5367532467532468,0.8530735930735931,1.1185026774254596,2.0870952083629133,0.0031466015173230795,0.0,0.99999999999995,0.19047619047619047
RDSGD,1,0.828961038961039,0.828961038961039,0.050687595140498115,0.0506875951404981,0.7470620490620493,0.5398268398268399,0.8513852813852814,1.1483886074196474,1.951482418870811,0.00029254594519584527,0.0,0.299999999999985,0.05714285714285715
RDSGD,2,0.8329870129870129,0.8329870129870129,0.05714590358589444,0.05714590358589443,0.8007676767676768,0.7426406926406927,0.8517316017316018,1.1360923082895649,1.8483825573225867,0.00017224195487733807,0.0,0.09999999999999501,0.019047619047619035
RDSGD,3,0.8348484848484848,0.8348484848484848,0.061137492817110436,0.061137492817110436,0.8120981240981241,0.7602164502164502,0.8512987012987013,1.1190696944617458,1.688675079868275,1.174277060815052e-05,0.014285714285714082,0.0,0.0
RDSGD,4,0.8360606060606061,0.8360606060606061,0.05219711264355822,0.05219711264355822,0.8082424242424243,0.6726839826839827,0.8518614718614719,1.1496576844586155,1.7605008064687884,0.0001871926334210731,0.014285714285714082,0.049999999999997505,0.00952380952380953
RDSGD,5,0.8371861471861471,0.8371861471861471,0.04410525463418803,0.044105254634188025,0.7740202020202019,0.5553246753246753,0.8538095238095238,1.3194249735479426,1.662612830322788,0.0001804680690395397,0.0,0.049999999999997505,0.009523809523809513
RDSGD,6,0.8378787878787879,0.8378787878787879,0.040418564559831394,0.040418564559831394,0.7933795093795094,0.5643722943722944,0.853982683982684,1.1207456379524596,1.7087720769129229,3.30787593584966e-05,0.0,0.0,0.0
RDSGD,7,0.8391341991341992,0.8391341991341992,0.03237342752612464,0.03237342752612463,0.8307301587301589,0.810952380952381,0.8397835497835497,1.1215810273602436,1.7100553548711632,0.00013891458730451415,0.0,0.049999999999997505,0.009523809523809513
RDSGD,8,0.8421212121212122,0.8421212121212122,0.02899125415297492,0.02899125415297492,0.8355930735930737,0.820952380952381,0.8484848484848485,1.3777924274992237,1.691044903660484,6.226401858077228e-06,0.0,0.0,0.0
RDSGD,9,0.8442424242424242,0.8442424242424242,0.02651500792683812,0.026515007926838117,0.836961038961039,0.8247619047619048,0.8431601731601731,1.3202646177923787,1.692152271488248,3.082902316784556e-06,0.0,0.0,0.0
RDSGD,10,0.8446753246753247,0.8446753246753247,0.023340641127745622,0.02334064112774562,0.8249004329004329,0.5854978354978355,0.852987012987013,1.1504731492684592,1.6879006196790214,1.4986498191352485e-05,0.0,0.0,0.0
RDSGD,11,0.8456277056277056,0.8456277056277056,0.020540219066171744,0.020540219066171744,0.8380721500721501,0.8002164502164503,0.844935064935065,1.39647603314359,1.675364787935747,6.922100789476912e-06,0.0,0.0,0.0
