alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.7510389610389611,0.7510389610389611,0.1479845069938525,0.1479845069938526,0.5015151515151515,0.3386147186147186,0.5828571428571429,1.4789624897032065,2.0771012755019815,0.0019030777583337458,0.0,0.09756097560975371,0.030069930069930008
RDSGD,1,0.7921645021645022,0.7921645021645022,0.225218990392612,0.22521899039261217,0.5965800865800865,0.39090909090909093,0.6933333333333334,1.2396509111626444,1.878645031174971,0.0010752336952042185,0.0,0.04878048780487686,0.016083916083916034
RDSGD,2,0.804025974025974,0.804025974025974,0.2579615663688413,0.25796156636884154,0.6504210940574577,0.4662337662337662,0.7237229437229438,1.1512317687475915,1.7866908209509993,0.00039418123475280347,0.026315789473683515,0.02439024390243843,0.006993006993006949
RDSGD,3,0.8107359307359308,0.8107359307359308,0.27855501958771106,0.27855501958771145,0.6804132231404959,0.5213852813852814,0.7477489177489177,1.0405839629231106,1.733642535592488,0.000335870401209489,0.05263157894736703,0.02439024390243843,0.006993006993006949
RDSGD,4,0.8123809523809524,0.8123809523809524,0.29408547241392047,0.2940854724139209,0.6966942148760331,0.5462770562770562,0.7656709956709957,0.965785996591964,1.696771541658793,0.00028960253981838603,0.07894736842105055,0.02439024390243843,0.006993006993006949
RDSGD,5,0.816969696969697,0.816969696969697,0.30122695011584805,0.3012269501158484,0.7114246359700905,0.5370995670995671,0.7851082251082251,0.9317409490109514,1.662261298371582,0.0002522759902417941,0.07894736842105055,0.02439024390243843,0.006993006993006949
RDSGD,6,0.8215584415584416,0.8215584415584416,0.31289331634757145,0.3128933163475719,0.7201928374655646,0.5262770562770562,0.7921645021645022,0.9127288886315237,1.6447160820538231,0.0,0.07894736842105055,0.0,0.0
RDSGD,7,0.8238095238095238,0.8238095238095238,0.31918317322706746,0.31918317322706796,0.7263833136560409,0.5265367965367965,0.8002597402597402,0.9059389513078007,1.634986169055753,0.0,0.10526315789473406,0.0,0.0
RDSGD,8,0.8277489177489178,0.8277489177489178,0.3207606656398169,0.32076066563981737,0.731806375442739,0.534978354978355,0.8086147186147186,0.9072100963758363,1.6311536807650506,0.00029607390521432976,0.10526315789473406,0.02439024390243843,0.00909090909090909
RDSGD,9,0.8318614718614719,0.8318614718614719,0.32394445487996953,0.32394445487997003,0.7375009838646203,0.5354545454545454,0.8073160173160173,0.8978788107001936,1.6229065603982513,0.0,0.10526315789473406,0.0,0.0
RDSGD,10,0.8335930735930736,0.8335930735930736,0.3311222720869899,0.3311222720869905,0.7400826446280991,0.5406926406926407,0.8129004329004329,0.8930423960914663,1.6168493408286952,0.0,0.13157894736841758,0.0,0.0
RDSGD,11,0.8346320346320346,0.8346320346320346,0.33216847446677233,0.33216847446677294,0.7423258559622196,0.5432467532467532,0.8131168831168831,0.8905062410990894,1.6149974753181682,0.0,0.13157894736841758,0.0,0.0
RDSGD,12,0.8341125541125541,0.8341125541125541,0.331191617201381,0.33119161720138157,0.7446477764659583,0.5503463203463204,0.8118181818181818,0.8894745649756814,1.6186951657795896,0.0,0.13157894736841758,0.0,0.0
RDSGD,13,0.8331601731601732,0.8331601731601732,0.33142317828401324,0.3314231782840139,0.7464344746162926,0.5538961038961039,0.8108658008658008,0.8886983184249659,1.6186274714331337,0.0,0.13157894736841758,0.0,0.0
RDSGD,14,0.835930735930736,0.835930735930736,0.3377751356234444,0.3377751356234451,0.7480794962613143,0.5553246753246753,0.8113852813852814,0.8868060694900501,1.6146393345108712,0.0,0.13157894736841758,0.0,0.0
RDSGD,15,0.8376623376623377,0.8376623376623377,0.3295780641851278,0.3295780641851285,0.7515308933490753,0.5735497835497836,0.813030303030303,0.8928377070075595,1.6133320758242387,0.00018948729933717097,0.13157894736841758,0.02439024390243843,0.010101010101010098
RDSGD,16,0.8393939393939394,0.8393939393939394,0.32843690462626984,0.32843690462627056,0.7537662337662338,0.5724675324675325,0.8174458874458874,0.8911176314008562,1.6080084154817715,0.0,0.13157894736841758,0.0,0.0
RDSGD,17,0.8388311688311688,0.8388311688311688,0.32800794879495265,0.32800794879495343,0.7553955135773317,0.5734632034632035,0.8165800865800866,0.8900280660552838,1.6075691082632693,0.0,0.13157894736841758,0.0,0.0
RDSGD,18,0.8393073593073593,0.8393073593073593,0.32553030710635583,0.3255303071063565,0.7565092483274302,0.5751082251082251,0.8228138528138528,0.8880908468878169,1.6106487485553482,0.0,0.13157894736841758,0.0,0.0
