alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k
RDSGD_ORACLE,0,0.7957575757575758,0.7957575757575758,0.010232412014349011,0.010232412014349013,0.658894660894661,0.571948051948052,0.7346753246753247,2.1436611714499048,2.200755681743259,,,
RDSGD_ORACLE,1,0.8186580086580086,0.8186580086580086,0.020402638029413844,0.020402638029413844,0.7273362193362193,0.6604329004329005,0.7631601731601731,1.9730096687344827,2.100919677247066,,,
RDSGD_ORACLE,2,0.8229870129870129,0.8229870129870129,0.02981318204215654,0.02981318204215655,0.7568340548340549,0.6737662337662338,0.8062337662337662,1.8294029309955406,2.0344131005463644,,,
RDSGD_ORACLE,3,0.827012987012987,0.827012987012987,0.04155610053908438,0.0415561005390844,0.7681385281385281,0.6903030303030303,0.8177489177489178,1.7262517007847662,1.9657404855477505,,,
RDSGD_ORACLE,4,0.8312987012987013,0.8312987012987013,0.03984958132770261,0.039849581327702624,0.7886406926406927,0.7278354978354978,0.8204761904761905,1.7150362692231353,1.9111943407649439,,,
RDSGD_ORACLE,5,0.832034632034632,0.832034632034632,0.04347685075100292,0.04347685075100293,0.7975440115440114,0.7446753246753247,0.8231601731601732,1.6704472279234193,1.8623396378431243,,,
RDSGD_ORACLE,6,0.8322510822510822,0.8322510822510822,0.03834157173669889,0.0383415717366989,0.808002886002886,0.7775324675324675,0.831991341991342,1.634211669969808,1.844882040428423,,,
RDSGD_ORACLE,7,0.8351082251082251,0.8351082251082251,0.03802959719706185,0.03802959719706188,0.8151803751803753,0.789047619047619,0.8337662337662337,1.602434631042552,1.81144630979957,,,
RDSGD_ORACLE,8,0.834025974025974,0.834025974025974,0.042044096071933094,0.04204409607193311,0.8174141414141415,0.7923809523809524,0.8361471861471862,1.5516612118314914,1.7842099220281495,,,
RDSGD_ORACLE,9,0.8376190476190476,0.8376190476190476,0.04029996927398329,0.0402999692739833,0.8220606060606062,0.7916450216450216,0.8366666666666667,1.533689021362461,1.7579929547941,,,
RDSGD_ORACLE,10,0.8374025974025974,0.8374025974025974,0.03498750996045587,0.034987509960455875,0.8251688311688312,0.8042857142857143,0.8399567099567099,1.5127311632572937,1.7391949629161574,,,
RDSGD_ORACLE,11,0.8373593073593074,0.8373593073593074,0.024862233080114746,0.024862233080114753,0.8291688311688312,0.815930735930736,0.8395670995670995,1.498032251300778,1.7508470363133743,,,
RDSGD_ORACLE,12,0.8389610389610389,0.8389610389610389,0.025776479063477544,0.02577647906347755,0.8309639249639249,0.8113852813852814,0.8415151515151515,1.4688297571930016,1.7322460933714576,,,
RDSGD_ORACLE,13,0.8411688311688311,0.8411688311688311,0.025092059398325026,0.025092059398325036,0.833088023088023,0.8084848484848485,0.844935064935065,1.447621078051632,1.7192551562539966,,,
RDSGD_ORACLE,14,0.8422943722943723,0.8422943722943723,0.020913623969406672,0.02091362396940668,0.8359682539682539,0.816017316017316,0.8476623376623377,1.4523028626290704,1.715266882191033,,,
RDSGD_ORACLE,15,0.842034632034632,0.842034632034632,0.014162536057578314,0.014162536057578315,0.8379105339105339,0.8213419913419914,0.8454545454545455,1.4613389022513879,1.7115259230616964,,,
