alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,21,0.8186147186147186,0.8186147186147186,0.005665621456902838,0.005665621456902836,0.8179711399711401,0.806017316017316,0.8282251082251082,1.4951955784161168,1.7355870984826436,0.0010655919834008166,0.014705882352940961,0.818181818181781,0.17142857142857149
RDSGD,22,0.8172294372294372,0.8172294372294372,0.005456746252551311,0.005456746252551308,0.8165743145743145,0.8065800865800866,0.824935064935065,1.4936987598282576,1.7397970530339852,0.001042836203659589,0.0,0.7727272727272376,0.16190476190476194
RDSGD,23,0.8164069264069264,0.8164069264069264,0.005388685536656995,0.005388685536656992,0.8151948051948051,0.804025974025974,0.8242424242424242,1.491961338672044,1.7428969082041332,0.0009834671541426086,0.014705882352940961,0.818181818181781,0.17142857142857143
RDSGD,24,0.8161471861471862,0.8161471861471862,0.004512751763924917,0.004512751763924916,0.8146406926406925,0.8041991341991342,0.8238528138528138,1.4827294862891778,1.7430165292411144,0.0010379456585066292,0.0,0.9090909090908679,0.19047619047619052
RDSGD,25,0.8148484848484848,0.8148484848484848,0.00397998603220665,0.0039799860322066475,0.8138961038961039,0.803982683982684,0.8235064935064935,1.4886742388598977,1.7453655441843132,0.001047299588090486,0.0,0.9545454545454112,0.20000000000000004
RDSGD,26,0.8132467532467532,0.8132467532467532,0.0036981960253004028,0.003698196025300402,0.8124992784992784,0.802034632034632,0.8209090909090909,1.4858847736996097,1.7459836344473616,0.000924449737062698,0.029411764705881922,0.9090909090908679,0.19047619047619052
RDSGD,27,0.8122077922077922,0.8122077922077922,0.003247862947235431,0.0032478629472354296,0.8113593073593075,0.8018181818181818,0.8207359307359308,1.4844270628377183,1.7453558006088563,0.0009350147931174997,0.014705882352940961,0.9999999999999546,0.20952380952380956
RDSGD,28,0.8109090909090909,0.8109090909090909,0.002913608856077812,0.0029136088560778113,0.8104617604617602,0.8005194805194805,0.8192207792207792,1.4835034387302959,1.7480522237392473,0.0008597101687180977,0.0,0.9999999999999546,0.20952380952380956
RDSGD,29,0.8092207792207792,0.8092207792207792,0.0029203752386824824,0.002920375238682482,0.8094660894660896,0.8012554112554112,0.8177056277056277,1.4833250039820345,1.7511156208658782,0.000744433436331622,0.014705882352940961,0.9090909090908679,0.19047619047619052
RDSGD,30,0.8085281385281385,0.8085281385281385,0.002883003334119851,0.00288300333411985,0.8089033189033189,0.7984415584415584,0.8170995670995671,1.4781628690252975,1.7533132509956841,0.0007528729840476484,0.029411764705881922,0.9545454545454112,0.20000000000000004
RDSGD,31,0.8069264069264069,0.8069264069264069,0.002643622291013091,0.0026436222910130903,0.8074025974025971,0.7992207792207793,0.8148917748917749,1.478009911637227,1.7543359032200594,0.0007416564840298954,0.014705882352940961,0.9545454545454112,0.20000000000000004
RDSGD,32,0.807965367965368,0.807965367965368,0.0028129317230640724,0.0028129317230640724,0.8076450216450218,0.8003896103896104,0.8151082251082251,1.4731866577714388,1.753649999216902,0.0006182052500652197,0.0,0.818181818181781,0.17142857142857146
