alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.7747619047619048,0.7747619047619048,0.04271768285846604,0.04271768285846604,0.5893044733044732,0.33735930735930736,0.6996103896103896,2.0042768447757933,2.2189901979505398,0.017968117207141747,0.0,0.8846153846153506,0.2190476190476191
RDSGD,1,0.8119047619047619,0.8119047619047619,0.05300355521276501,0.05300355521276501,0.7192582972582973,0.588008658008658,0.7758441558441559,1.8532115249968673,2.099586319855926,0.01470856514436742,0.0,0.8461538461538136,0.20952380952380958
RDSGD,2,0.8227272727272728,0.8227272727272728,0.05505118381244916,0.055051183812449146,0.7668167388167387,0.6951948051948051,0.8107359307359308,1.7608152185214938,2.0151090625580945,0.011402137792692753,0.0,0.7692307692307397,0.19047619047619052
RDSGD,3,0.8251515151515152,0.8251515151515152,0.05136319673744753,0.05136319673744753,0.7906868686868689,0.7585281385281385,0.8151948051948052,1.6829717198183067,1.9453692672211256,0.009462728139521018,0.0,0.7692307692307397,0.19047619047619052
RDSGD,4,0.8252380952380952,0.8252380952380952,0.04526212884689278,0.04526212884689277,0.8033795093795093,0.775974025974026,0.8251082251082251,1.6457511403813494,1.8975981270673123,0.009427415943430245,0.0,0.8076923076922767,0.20000000000000007
RDSGD,5,0.8267965367965368,0.8267965367965368,0.03935450402230562,0.03935450402230563,0.8115815295815296,0.792943722943723,0.827012987012987,1.6345956930482308,1.8584745741662663,0.00830447067264371,0.0,0.8076923076922767,0.20000000000000007
RDSGD,6,0.8303463203463204,0.8303463203463204,0.03437267980625408,0.034372679806254074,0.8191688311688312,0.8053679653679654,0.8324242424242424,1.6133141404305928,1.8286284236640198,0.006922525439031586,0.0,0.8076923076922767,0.20000000000000007
RDSGD,7,0.8316450216450216,0.8316450216450216,0.029521863507259945,0.02952186350725994,0.8233275613275614,0.8106493506493506,0.8378787878787879,1.5967430691716908,1.8001273968499327,0.006996349009825203,0.0,0.8461538461538136,0.20952380952380958
RDSGD,8,0.8291341991341992,0.8291341991341992,0.024554517647963493,0.024554517647963497,0.8227619047619048,0.8112121212121212,0.8334632034632035,1.5901207667732582,1.7771214486653306,0.006471626893023002,0.0,0.8846153846153506,0.2190476190476191
RDSGD,9,0.8318614718614719,0.8318614718614719,0.021621433923400945,0.02162143392340094,0.8259797979797979,0.8151515151515152,0.8378354978354978,1.5783449141440524,1.7613810180219713,0.0060663092025515074,0.0,0.9230769230768876,0.22857142857142862
