id,alpha_init,alpha_decay,graph_type,graph_weights,graph_args,reg_param,batch_sz,data_heterogeneity,g,s2,pi,lam_pi,nu2,nu2_bound,L,mu,tau,h,n_loc,f_star,f_pi_star,zeta_sq_pi,sigma_sq,dB_max,dB_pi,opt_gap_ub,opt_gap_emp,eps_opt,eps_byz,epsilon,byz_cons_floor,alpha_max_conv,alpha_max_stab,n,sys_K,train_K,b,atk_type,train_atks,test_atks
OP0ZqgRADCO4mcc2k1BuW,0.5,0.1,random-regular,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 6, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,0.267289488061496,0.732710511938504,"[0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667]",0.847145432829913,0.0150551275739234,0.0254941688712523,2.028164402274113,0.2,0.9758372961165716,15,2345,1.5582157729034392,1.5582157729034392,0.2693694903325735,70.60654463366372,0.5714285714285714,0.2476190476190475,0.3010940069665833,6.261192474586905e-31,0.0024736004753169,0.0156900184770261,0.0181636189523431,3.945502495557296,0.021964811117037,0.897599835074448,20,200,200,5,sign_flip,"{'sign_flip', 'label_flip', 'gaussian', 'ALIE', 'IPM'}","{'sign_flip', 'label_flip', 'gaussian', 'ALIE', 'IPM'}"
d1B3S9V1NKe4_79omIFxN,0.5,0.1,random-regular,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 6, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,0.26820473197346373,0.7317952680265363,"[0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667
 0.06666667 0.06666667 0.06666667]",0.8468915289881909,0.014570006154580591,0.02467267019400363,2.028164402274113,0.2,0.9758372961165716,15,2345,1.5582157729034392,1.558215772903439,0.26936949033257357,70.60654463366372,0.5714285714285714,0.24761904761904768,0.3010940069665833,4.567378863088001e-31,0.0024733076028950773,0.015662540336085665,0.018135847938980744,3.938592683831277,0.02204002230397223,0.897599835074448,20,200,200,5,sign_flip,"{'sign_flip', 'ALIE', 'IPM', 'label_flip', 'gaussian'}","{'sign_flip', 'ALIE', 'IPM', 'label_flip', 'gaussian'}"
