alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k,byz_w_k
RDSGD,0,0.7781818181818182,0.7781818181818182,0.12521796548302674,0.12521796548302677,0.39507070707070713,0.2932034632034632,0.5117748917748918,1.864200105046413,2.1000605170295477,0.0,0.9117647058823396,0.0,0.0
RDSGD,1,0.8006060606060607,0.8006060606060607,0.1227980521483801,0.12279805214838013,0.5675411255411256,0.4105194805194805,0.7245021645021645,1.399664582073771,2.0778028835382263,0.0,0.2941176470588192,0.0,0.0
RDSGD,2,0.8148484848484848,0.8148484848484848,0.1562376912147288,0.1562376912147288,0.6433997113997113,0.37272727272727274,0.7835930735930736,1.1933373194866004,2.0398328543957955,0.0,0.3235294117647011,0.0,0.0
RDSGD,3,0.818051948051948,0.818051948051948,0.20485833512851548,0.2048583351285155,0.6688023088023087,0.36307359307359305,0.808961038961039,1.078717818975157,1.9906530380278171,0.0,0.39705882352940597,0.0,0.0
RDSGD,4,0.8239826839826839,0.8239826839826839,0.2531966379041488,0.25319663790414887,0.677887445887446,0.3573160173160173,0.8199134199134199,1.0123595718315075,1.9522860680261662,0.0,0.44117647058822884,0.0,0.0
RDSGD,5,0.8284848484848485,0.8284848484848485,0.29553878871938016,0.2955387887193802,0.6871428571428572,0.3524675324675325,0.8347186147186147,0.9699583125397535,1.9194835245332438,0.0,0.44117647058822884,0.0,0.0
RDSGD,6,0.8322077922077922,0.8322077922077922,0.34261650337689287,0.34261650337689287,0.6876969696969696,0.3450649350649351,0.8358008658008658,0.9446099518397988,1.8949245703951136,0.0,0.4852941176470517,0.0,0.0
RDSGD,7,0.8331168831168831,0.8331168831168831,0.3761640322493309,0.3761640322493312,0.6898008658008657,0.345974025974026,0.837012987012987,0.9286442982376664,1.8382030961897953,0.0,0.5147058823529337,0.0,0.0
RDSGD,8,0.8351082251082251,0.8351082251082251,0.4104358971564913,0.41043589715649137,0.6899191919191918,0.34186147186147187,0.8390909090909091,0.9137104165401294,1.7943419522233008,0.0,0.5441176470588156,0.0,0.0
RDSGD,9,0.8379653679653679,0.8379653679653679,0.43523260487503873,0.4352326048750388,0.6931544011544012,0.3395670995670996,0.8411255411255412,0.9035234778237727,1.7746711697003712,0.0,0.5441176470588156,0.0,0.0
RDSGD,10,0.838008658008658,0.838008658008658,0.46265362724922154,0.46265362724922166,0.6925137085137084,0.33995670995670996,0.8427272727272728,0.8962054243414663,1.7623501324903859,0.0,0.5588235294117565,0.0,0.0
RDSGD,11,0.8396103896103896,0.8396103896103896,0.48291193051464953,0.48291193051464965,0.6933448773448773,0.3401298701298701,0.8418181818181818,0.8888335823883877,1.7549819195866911,0.0,0.5588235294117565,0.0,0.0
RDSGD,12,0.8421645021645021,0.8421645021645021,0.5024785877598491,0.5024785877598492,0.6947099567099568,0.3396103896103896,0.8442857142857143,0.8850855205819173,1.7453380650882373,0.0,0.5588235294117565,0.0,0.0
