,mean,mean,mean,mean,mean,std,std,std,std,std
alg,CooMed,IOS,RDSGD,SCC,TriMean,CooMed,IOS,RDSGD,SCC,TriMean
atk,,,,,,,,,,
ALIE,0.8463203463203464,0.8444935064935064,0.8535844155844157,0.853991341991342,0.845991341991342,0.01634871281743323,0.01626820013287968,0.01886282357121655,0.007858865921998857,0.016160254915874504
IPM,0.8425714285714285,0.8557142857142856,0.8572987012987013,0.8583549783549783,0.8458354978354979,0.008343733320389748,0.002058440420427483,0.004958987359382597,0.007524501933377525,0.007468216293427997
gaussian,0.8412207792207793,0.6885367965367966,0.8599134199134199,0.8545194805194806,0.7823636363636364,0.009466494201744113,0.08335267330535154,0.004755111250085884,0.0055754819646329536,0.04997571232225985
label_flip,0.8340086580086581,0.8559220779220779,0.8545281385281385,0.8485367965367965,0.8383982683982684,0.018134462138164848,0.007788803970369517,0.019460201044014205,0.011375005650398486,0.012098502226061512
sign_flip,0.7817489177489177,0.8342857142857143,0.8537489177489178,0.815004329004329,0.7929350649350649,0.04694631652212552,0.013501254672748889,0.012553575148969296,0.035425536129091204,0.04579312572181548
