,mean,mean,mean,mean,mean,std,std,std,std,std
alg,CooMed,IOS,RDSGD_ORACLE,SCC,TriMean,CooMed,IOS,RDSGD_ORACLE,SCC,TriMean
atk,,,,,,,,,,
ALIE,0.8358008658008658,0.8429696969696969,0.852060606060606,0.8518701298701299,0.8387445887445887,0.028814963010372015,0.013868720575213753,0.006465277746954954,0.006065582372580728,0.025091930075815807
IPM,0.8515844155844157,0.8510995670995671,0.8536017316017317,0.8530562770562771,0.8519307359307359,0.008958769606199003,0.00821887437496494,0.006655652339473733,0.006659185097512205,0.008745370930685515
gaussian,0.8402510822510824,0.6417489177489177,0.8530735930735931,0.849922077922078,0.8013333333333333,0.012998818587993713,0.22927293921908573,0.0034789953803728824,0.0029908376292153848,0.06547289820351572
label_flip,0.825922077922078,0.8463896103896105,0.8558787878787879,0.8333419913419913,0.8315584415584416,0.011615994011679278,0.008771475104576432,0.0013164017438059522,0.013210323957349156,0.004634966907774517
sign_flip,0.7661385281385281,0.8026147186147187,0.8562683982683982,0.7911774891774892,0.778077922077922,0.044874232108561694,0.03848306619882656,0.004761452162670608,0.02963045192602206,0.0404530526269536
