id,alpha_init,alpha_decay,graph_type,graph_weights,graph_args,reg_param,batch_sz,data_heterogeneity,timestamp,proj_const,C_fpr,C_fnr,C_tau,cv_ap,cv_params,prevalence,tau,tn,fp,fn,tp,beta_C,gamma_C,roc_auc,avg_prec,wall_s,RDSGD_acc,RDSGD_conv,RDSGD_loss,IOS_acc,IOS_conv,IOS_loss,SCC_acc,SCC_conv,SCC_loss,TriMean_acc,TriMean_conv,TriMean_loss,CooMed_acc,CooMed_conv,CooMed_loss,g,s2,pi,lam_pi,nu2,nu2_bound,L,mu,h,n_loc,f_star,f_pi_star,zeta_sq_pi,sigma_sq,dB_max,dB_pi,opt_gap_ub,opt_gap_emp,eps_opt,eps_byz,epsilon,byz_cons_floor,alpha_max_conv,alpha_max_stab,n,sys_K,train_K,b,atk_type,train_atks,test_atks
oO_RrMBplxsOp9ayUyaN1,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:38:38.842030,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,116.57749989701551,0.8371861471861471,1.123328175408616,1.6238555816368043,0.8532467532467533,0.0003044639182962,1.69323760683866,0.8245454545454546,0.0001435179131691,1.8070138654307708,0.817012987012987,0.0002030615386969,1.8859016194482825,0.8183116883116883,0.0001196817672904,1.8911402893702511,0.4794097910500582,0.5205902089499418,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7050720085834044,0.0234636716621055,0.0602947022160666,2.4202901732948083,0.2,14,2345,1.5554457302906082,1.5554457302906082,0.381324079809159,70.70997867771923,0.4,0.2314647653933368,0.3230733110465394,2.180302228910435e-31,0.003125808813515,0.0130671611439207,0.0161929699574358,1.4902910242757337,0.033013244743668,0.7632742435869831,20,200,200,6,label_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
44N4WtTwo-EVUiQLoRr0E,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:40:35.750027,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,106.2623104120139,0.8636796536796537,0.3622248726836341,1.629655022601466,0.8609523809523809,0.0003620132904677,1.6314079835298525,0.8490909090909091,0.000152156716489,1.775693803104279,0.8448484848484848,0.0002233273730652,1.839272225131368,0.8396969696969697,0.0001355214266505,1.865736461859579,0.2169190708444878,0.7830809291555122,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.8713014759046387,0.0239146672419104,0.0602947022160668,2.070554435342832,0.2,14,2345,1.5549931667422698,1.55499316674227,0.263962523198217,68.65086152825987,0.4055555555555555,0.234044130472702,0.3136652217252207,4.703974247226138e-31,0.0026762268211914,0.0132127771692531,0.0158890039904445,1.5319754761507294,0.0174606269011687,0.8808421277501851,20,200,200,6,label_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
o4C4x3q-4RwNMBk1dalY3,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:42:22.493659,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,108.3252207589976,0.8143290043290043,0.4203360075743581,1.6423489025317646,0.8245454545454546,0.0003014572444548,1.8820116112267389,0.7964935064935065,0.0001672645427726,1.9208233211353152,0.7912554112554112,0.0002182700070749,1.9601321750340244,0.788961038961039,0.00013609154461,1.9687938376394267,0.3633867167974111,0.6366132832025889,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7834122941427054,0.0228784605886521,0.0689082311040762,1.9809236737874405,0.2,14,2345,1.5518742917455053,1.5518742917455053,0.329750129363788,70.84840133194093,0.4499999999999999,0.2211233211233211,0.3237057630152648,4.1650162105058255e-31,0.00257646789128,0.0124833430474275,0.0150598109387076,1.8861495775989747,0.0305738447174857,0.917042638418774,20,200,200,6,label_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
GaOUHmrMnEv0-aBPiQHbo,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:44:11.160372,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,105.09520841500488,0.8378354978354978,0.4832521793049539,1.6522478861963026,0.8459740259740259,0.0004888902244001,1.792728337212445,0.827056277056277,0.000138455581486,1.882085530950658,0.7942857142857143,0.0001932835225648,1.9648241317156043,0.7837229437229437,0.0001245646710215,1.9900307868967209,0.3532881335052065,0.6467118664947935,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7908548744047956,0.0212604341249684,0.0602947022160666,1.963914241957048,0.2,14,2345,1.546877479750802,1.5468774797508018,0.2769243104020039,70.7702171807223,0.5,0.2789006628292343,0.3233485402713477,3.486142407947984e-31,0.0025722909657067,0.0157451173967786,0.0183174083624853,2.3285797254308336,0.0299816327649447,0.92425104526841,20,200,200,6,label_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
TNH_hhWLuiI-qzIbixafS,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:45:56.608584,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,106.8987998449884,0.8396969696969697,0.7617138927981165,1.6484599543671972,0.833030303030303,0.0003406905896745,1.6537145561492408,0.7957142857142857,0.0001782399338829,1.7346227046001337,0.8144155844155844,0.0002440672038583,1.785312993731205,0.8125541125541126,0.0001474406984233,1.802033864101792,0.2371283163113235,0.7628716836886764,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.8594793198344781,0.0241669824655393,0.0602947022160666,2.092278288878426,0.2,14,2345,1.5400604967057976,1.5400604967057976,0.2890553932680236,69.22102805444597,0.4102564102564102,0.2611503575789291,0.3162703078942096,5.555580931708203e-31,0.0027061028033948,0.0147430378851719,0.0174491406885667,1.567696015017208,0.0188891631968674,0.872494412961773,20,200,200,6,label_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
eBNgVi7z8Isn2DjiMRohD,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:47:43.935372,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,109.15997831500135,0.8489610389610389,1.4044656879220314,1.438107806367036,0.7214718614718615,0.00039378494246,1.9211966992504328,0.7474891774891775,0.0001578358812318,1.8493359415725708,0.7151515151515152,0.0001881743982689,1.8180393877108905,0.6919047619047619,0.0001271595661367,1.847385487496676,0.350809407056316,0.649190592943684,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7916063455634159,0.0225499866074177,0.0689082311040762,2.4528268513871394,0.2,14,2345,1.5423381216829724,1.5423381216829726,0.3448791533361839,75.51766960532535,0.4833333333333333,0.2493742368742367,0.3450396113554312,3.2419926022976e-31,0.0032051864734848,0.0140782262597956,0.0172834127332805,2.175928387874812,0.0238370818862818,0.7539127549746482,20,200,200,6,sign_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
Juiba_65DO39bymlwTWR9,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:49:33.795940,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,124.01470562699252,0.8682683982683983,0.5186212181280717,1.614740984125363,0.7916017316017316,0.0003037749741174,1.8435973205545868,0.8377056277056277,8.006440597566807e-05,1.6578068428705393,0.8373160173160173,0.0001143309635655,1.7057646350536195,0.8315151515151515,8.119277674592962e-05,1.740865444471452,0.3292229274925997,0.6707770725074003,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.8050581649335016,0.0226584235813032,0.0602947022160668,1.6940607990444765,0.2,14,2345,1.5702709651381228,1.5702709651381228,0.2559322071374387,72.38061460234644,0.4222222222222222,0.2545569509855224,0.330706432846542,7.099365549016346e-31,0.0021947624932285,0.014370812305624,0.0165655747988525,1.6604785795170978,0.0323899165522173,1.0559323127372513,20,200,200,6,sign_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
DARtiBEr88mvu3PgGdQih,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:51:38.514860,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,125.82156486899476,0.8511688311688311,1.3421753071506504,1.492865314950266,0.7184848484848485,0.0014019175900842,2.06538395531334,0.7862770562770562,0.0001582057560315,1.8267375472153555,0.7787878787878788,0.0002051741222017,1.8134641234338784,0.757965367965368,0.0001500564423063,1.817391242523052,0.3486563357725045,0.6513436642274955,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7926751695961014,0.0230097397332873,0.0689082311040763,1.9306690407458325,0.2,14,2345,1.5528867392006287,1.552886739200629,0.3209461189351464,68.9492266630528,0.4769230769230769,0.254029304029304,0.3150284495722792,4.535652075408878e-31,0.0025206044881641,0.0143410244120227,0.0168616289001868,2.1185941927943484,0.0300980582736072,0.9386722957686134,20,200,200,6,sign_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
9F_6aLvWFXoQ5bYPUqkEB,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:53:44.778980,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,114.4383831009909,0.8518614718614719,1.2882759884312789,1.520662445469176,0.8213852813852814,0.0002496503767679,1.676225404589056,0.7289610389610389,0.0001162473904032,2.041964550029369,0.7666233766233767,0.0001283171602495,1.792684780162326,0.7568831168831169,8.299676530160311e-05,1.8107391774661603,0.3147425178754345,0.6852574821245655,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.8131112731568069,0.024107539589882,0.0602947022160667,2.0184635786486167,0.2,14,2345,1.5645368372521975,1.564536837252198,0.2945985371607003,71.5719485722587,0.4,0.2502529216814931,0.3270116444056904,4.010836543925601e-31,0.0026068490933506,0.0141278317189748,0.0167346808123254,1.4902910242757337,0.0259886216761429,0.901524829728467,20,200,200,6,sign_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
FsAaLf4CwJtaiMdamuJdi,0.5,0.1,erdos-renyi,MH,"{'ws_k': 6, 'ws_p': 0.1, 'rand_reg_deg': 7, 'geom_radius': 0.4, 'er_p': np.float64(0.4493598410330987)}",0.2,100,1,2026-08-05 15:55:39.582824,1.5760134434048745,0.1402631578947368,0.15,0.5381425057051047,0.977687442020583,"{'lr__C': 10.0, 'rbf__gamma': 0.02, 'rbf__n_components': 400}",0.3220338983050847,0.7880067217024371,36299,3701,1609,17391,0.0846842105263157,0.092525,0.9728285111842108,0.9509355406659444,110.23775700599072,0.8528571428571429,0.4175707868573488,1.632600877321326,0.8445454545454546,0.0002387309881966,1.6842634064210922,0.7398268398268398,8.783375709038703e-05,1.87717515955626,0.7885714285714286,0.0001374865194822,1.7795785120923395,0.7792207792207793,7.769786019912584e-05,1.796374747688448,0.3459744295214935,0.6540255704785065,"[0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857 0.07142857
 0.07142857 0.07142857]",0.7933686130213315,0.0245918143511152,0.0602947022160666,2.170872153752338,0.2,14,2345,1.547440227488745,1.5474402274887455,0.305160705693946,71.35062914161772,0.3076923076923077,0.1974751439037153,0.3260004377472634,3.182213574066389e-31,0.0027670621421337,0.0111483038160203,0.013915365958154,0.8818290084471797,0.0265618612411513,0.8435714244796518,20,200,200,6,sign_flip,"{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}","{'ALIE', 'label_flip', 'gaussian', 'IPM', 'sign_flip'}"
