id,alpha_init,alpha_decay,graph_type,graph_weights,graph_args,reg_param,batch_sz,data_heterogeneity,timestamp,proj_const,C_fpr,C_fnr,C_tau,T3_RDSGD_ORACLE,max_test_acc,min_test_acc,term_cons,g,s2,pi,lam_pi,nu2,nu2_bound,L,mu,tau,h,n_loc,f_star,f_pi_star,dB_max,dB_pi,opt_gap,eps_opt,eps_byz,epsilon,byz_cons_floor,alpha_max_conv,alpha_max_stab,n,K,b,atk_type,train_atks,val_atks
rnZXo27mmsl_hdvOtskRc,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:31:48.771484,1.8835731499628965,0.0,0.0,0,{'test_acc': np.float64(0.86004329004329)},0.8603896103896104,0.0,0.005000204322255,0.1298116470724745,0.8701883529275255,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.9328388676119396,0.0,0.0,1.919617428313184,0.2,0.9417865749814482,16,2345,1.5636066337756134,1.5636066337756134,0.2734487734487734,0.1653370934620935,0.2917058213555177,0.0020465004566238,0.0,0.0020465004566238,0.0,0.0112706178809235,0.9435665008621972,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
Bt70XJzU15wD2tqNZoCOu,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:32:04.586339,1.8835731499628965,0.0,0.2,0,{'test_acc': np.float64(0.8572727272727273)},0.8586147186147186,0.0,0.0007944512001682,0.3475840843997756,0.6524159156002244,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8077226724564716,0.0,0.0,2.776170243507541,0.2,0.9417865749814482,16,2345,1.5544081093622368,1.5544081093622368,0.25,0.1253749722499723,0.288101312647197,0.0031076532576576,0.0128902239744759,0.0159978772321336,1.1087024410191086,0.0208671211244248,0.6720045684090021,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
zJS2hxrO5hn1lCw7LQ7iN,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:32:21.537403,1.8835731499628965,0.0,0.4,0,{'test_acc': np.float64(0.8569696969696969)},0.8573593073593073,0.0,0.0007170626330386,0.2340422391546863,0.7659577608453136,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8751901283980034,0.0,0.0,1.8940287207952624,0.2,0.9417865749814482,16,2345,1.575661721095566,1.575661721095566,0.2742424242424243,0.1651310495060494,0.2886224963726553,0.0022407227419888,0.033955360867866,0.0361960836098548,2.6682975698973026,0.0205947457030831,0.9550967377565136,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
KT5FLV-rLMUNEm6Z-NmQM,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:32:36.203542,1.8835731499628965,0.0,0.6000000000000001,0,{'test_acc': np.float64(0.8423376623376624)},0.8423376623376624,0.0,0.0003534830850321,0.3322748021551411,0.6677251978448588,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8171445391391041,0.0,0.0,1.8449291643909744,0.2,0.9417865749814482,16,2345,1.5618350441052664,1.5618350441052664,0.2833333333333333,0.1494023337773337,0.2726389412594483,0.0023012442668842,0.0460816742800834,0.0483829185469677,4.272200072726966,0.0300169430682747,0.9780289874224786,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
49oKOyW9tACEHf2MuWQmV,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:32:50.524271,1.8835731499628965,0.0,0.8,0,{'test_acc': np.float64(0.828051948051948)},0.828051948051948,0.0,0.0008186412671317,0.2737734596473202,0.7262265403526798,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8521892632230705,0.0,0.0,2.059031083012388,0.2,0.9417865749814482,16,2345,1.559490059658775,1.5594900596587753,0.2853535353535353,0.1680614524364524,0.2941122519407155,0.0026962393626489,0.0691158601913735,0.0718120995540224,5.777786539893072,0.0221603793734208,0.8853353170037068,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
h4oeux_wn-wJ6jgfKmGpI,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:33:04.244933,1.8835731499628965,0.0,1.0,0,{'test_acc': np.float64(0.7722510822510823)},0.7722510822510823,0.0,0.0013799213506554,0.1608686932171469,0.8391313067828531,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.916041105400218,0.0,0.0,2.0113544800216148,0.2,0.9417865749814482,16,2345,1.566136113419073,1.566136113419073,0.2797619047619047,0.1530226717726723,0.2755831832670314,0.0027441949259102,0.0786638862974064,0.0814080812233167,6.9419605788299625,0.0133300465610797,0.9044230665272855,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
T0eBJIySdrzFeqqTUEGx4,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:33:17.337775,1.8835731499628965,0.2,0.0,0,{'test_acc': np.float64(0.8594372294372294)},0.8596103896103896,0.0,0.0067241295951232,0.16965411780239,0.83034588219761,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.8980721600827816,0.0238122774818567,0.0914285714285724,2.823330607871516,0.2,0.9417865749814482,16,2345,1.54949148169442,1.54949148169442,0.2435897435897435,0.1675380175380175,0.3026603033537408,0.0030099473431466,0.0,0.0030099473431466,0.0,0.0100150107187465,0.6615220957948886,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
T9_Vp8lQxpxChy69D4ymf,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:33:30.363208,1.8835731499628965,0.2,0.2,0,{'test_acc': np.float64(0.8500865800865801)},0.8503896103896104,0.0,0.0034603130966849,0.1453652131088439,0.854634786891156,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.9102804459929208,0.0260242965340854,0.0800000000000004,2.237871891093085,0.2,0.9417865749814482,16,2345,1.563709832252711,1.5637098322527112,0.2936507936507936,0.1676233488733488,0.2731376232100639,0.0025259088086084,0.0172339221421415,0.01975983095075,1.529668573197439,0.0108261494389237,0.8203876533902881,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
NjyHANLsr6jiTecSg3wPl,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:33:43.848434,1.8835731499628965,0.2,0.4,0,{'test_acc': np.float64(0.8577922077922078)},0.8577922077922078,0.0,0.0014591314980094,0.1421499034187023,0.8578500965812976,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.9125982563413056,0.0250145191041065,0.0914285714285729,2.877618181663129,0.2,0.9417865749814482,16,2345,1.572976167869016,1.572976167869016,0.3055555555555555,0.1573156010656012,0.2727414607516263,0.0034427793928923,0.0323482956131278,0.0357910750060202,3.3124196386002995,0.0082330764799696,0.6498531922888531,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
ymh96lMF2xDj_XuaR7o9y,0.5,0.1,geometric,MH,{'geom_radius': 0.4},0.2,100,1,2026-08-03 11:33:56.720567,1.8835731499628965,0.2,0.6000000000000001,0,{'test_acc': np.float64(0.8463636363636363)},0.8465367965367966,0.0,0.0014081517191554,0.1522375325904149,0.847762467409585,"[0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625]",0.9063816279368796,0.0262348119480769,0.0914285714285727,2.2638538262607506,0.2,0.9417865749814482,16,2345,1.5541328733729336,1.5541328733729336,0.3075396825396825,0.1635694166944166,0.270751493047655,0.0028588366295175,0.0504513710845318,0.0533102077140493,5.0333666185722015,0.0112078446956583,0.8117364669458841,20,140,4,sign_flip,"{'sign_flip', 'label_flip', 'gaussian'}","{'sign_flip', 'label_flip', 'gaussian'}"
